Year,State,MinWage,Patents,D_MinWage,D_MinWage_Positive,D_Patents,D_Patents_Pct,D_MinWage_L1,D_Patents_L1,D_MinWage_L2,D_Patents_L2,D_MinWage_L3,D_Patents_L3
2014,Wisconsin,7.92,2651,-0.13000000000000078,0,149.0,0.05955235811350912,-0.11999999999999922,213.0,-0.16999999999999993,135.0,-0.2599999999999998,-78.0
2015,Wisconsin,7.91,2571,-0.009999999999999787,0,-80.0,-0.030177291588080024,-0.13000000000000078,149.0,-0.11999999999999922,213.0,-0.16999999999999993,135.0
2002,Wyoming,7.4,61,,0,,,,,,,,
2003,Wyoming,7.24,84,-0.16000000000000014,0,23.0,0.3770491803278688,,,,,,
2004,Wyoming,7.05,55,-0.1900000000000004,0,-29.0,-0.34523809523809523,-0.16000000000000014,23.0,,,,
2005,Wyoming,6.82,55,-0.22999999999999954,0,0.0,0.0,-0.1900000000000004,-29.0,-0.16000000000000014,23.0,,
2006,Wyoming,6.61,56,-0.20999999999999996,0,1.0,0.018181818181818077,-0.22999999999999954,0.0,-0.1900000000000004,-29.0,-0.16000000000000014,23.0
2007,Wyoming,6.42,62,-0.1900000000000004,0,6.0,0.1071428571428572,-0.20999999999999996,1.0,-0.22999999999999954,0.0,-0.1900000000000004,-29.0
2008,Wyoming,7.03,41,0.6100000000000003,1,-21.0,-0.33870967741935487,-0.1900000000000004,6.0,-0.20999999999999996,1.0,-0.22999999999999954,0.0
2009,Wyoming,7.9,64,0.8700000000000001,1,23.0,0.5609756097560976,0.6100000000000003,-21.0,-0.1900000000000004,6.0,-0.20999999999999996,1.0
2010,Wyoming,8.6,89,0.6999999999999993,1,25.0,0.390625,0.8700000000000001,23.0,0.6100000000000003,-21.0,-0.1900000000000004,6.0
2011,Wyoming,8.34,74,-0.2599999999999998,0,-15.0,-0.1685393258426966,0.6999999999999993,25.0,0.8700000000000001,23.0,0.6100000000000003,-21.0
2012,Wyoming,8.17,125,-0.16999999999999993,0,51.0,0.6891891891891893,-0.2599999999999998,-15.0,0.6999999999999993,25.0,0.8700000000000001,23.0
2013,Wyoming,8.05,134,-0.11999999999999922,0,9.0,0.07200000000000006,-0.16999999999999993,51.0,-0.2599999999999998,-15.0,0.6999999999999993,25.0
2014,Wyoming,7.92,131,-0.13000000000000078,0,-3.0,-0.02238805970149249,-0.11999999999999922,9.0,-0.16999999999999993,51.0,-0.2599999999999998,-15.0
2015,Wyoming,7.91,114,-0.009999999999999787,0,-17.0,-0.1297709923664122,-0.13000000000000078,-3.0,-0.11999999999999922,9.0,-0.16999999999999993,51.0
